"","chemical","program","Year","state","measurements","type","value","carcinogen","hormone_disruptor","neurotoxins","developmental_or_reproductive_toxins","bee_toxins","toxicity_human_bee"
"1","2,4-D,_DIMETH._SALT","SURVEY",2019,"FLORIDA"," TREATED ,  MEASURED IN PCT OF AREA BEARING","HERBICIDE",0,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"2","2,4-D,_DIMETH._SALT","SURVEY",2019,"FLORIDA"," APPLICATIONS ,  MEASURED IN LB","HERBICIDE",0,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"3","2,4-D,_DIMETH._SALT","SURVEY",2019,"FLORIDA"," APPLICATIONS ,  MEASURED IN LB / ACRE / APPLICATION","HERBICIDE",0,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"4","2,4-D,_DIMETH._SALT","SURVEY",2019,"FLORIDA"," APPLICATIONS ,  MEASURED IN NUMBER","HERBICIDE",0,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"5","2,4-D,_DIMETH._SALT","SURVEY",2019,"FLORIDA"," APPLICATIONS ,  MEASURED IN LB / ACRE / YEAR","HERBICIDE",0,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"6","2,4-D,_TRIISO._SALT","SURVEY",2019,"FLORIDA"," APPLICATIONS ,  MEASURED IN NUMBER","HERBICIDE",0,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"7","2,4-D,_TRIISO._SALT","SURVEY",2019,"FLORIDA"," APPLICATIONS ,  MEASURED IN LB / ACRE / YEAR","HERBICIDE",0,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"8","2,4-D,_TRIISO._SALT","SURVEY",2019,"FLORIDA"," TREATED ,  MEASURED IN PCT OF AREA BEARING","HERBICIDE",0,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"9","2,4-D,_TRIISO._SALT","SURVEY",2019,"FLORIDA"," APPLICATIONS ,  MEASURED IN LB","HERBICIDE",0,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"10","2,4-D,_TRIISO._SALT","SURVEY",2019,"FLORIDA"," APPLICATIONS ,  MEASURED IN LB / ACRE / APPLICATION","HERBICIDE",0,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"11","ABAMECTIN","SURVEY",2016,"WASHINGTON"," APPLICATIONS ,  MEASURED IN LB","INSECTICIDE",0,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"12","ABAMECTIN","SURVEY",2018,"CALIFORNIA"," APPLICATIONS ,  MEASURED IN NUMBER","INSECTICIDE",1.4,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"13","ABAMECTIN","SURVEY",2019,"FLORIDA"," APPLICATIONS ,  MEASURED IN LB / ACRE / YEAR","INSECTICIDE",0.184,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"14","ABAMECTIN","SURVEY",2018,"FLORIDA"," APPLICATIONS ,  MEASURED IN LB / ACRE / YEAR","INSECTICIDE",0,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"15","ABAMECTIN","SURVEY",2019,"FLORIDA"," APPLICATIONS ,  MEASURED IN LB","INSECTICIDE",300,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"16","ABAMECTIN","SURVEY",2016,"FLORIDA"," APPLICATIONS ,  MEASURED IN NUMBER","INSECTICIDE",0,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"17","ABAMECTIN","SURVEY",2019,"CALIFORNIA"," APPLICATIONS ,  MEASURED IN LB","INSECTICIDE",500,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"18","ABAMECTIN","SURVEY",2018,"FLORIDA"," APPLICATIONS ,  MEASURED IN LB","INSECTICIDE",0,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"19","ABAMECTIN","SURVEY",2016,"CALIFORNIA"," APPLICATIONS ,  MEASURED IN NUMBER","INSECTICIDE",1.4,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"20","ABAMECTIN","SURVEY",2019,"FLORIDA"," TREATED ,  MEASURED IN PCT OF AREA BEARING","INSECTICIDE",18,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"21","ABAMECTIN","SURVEY",2019,"CALIFORNIA"," TREATED ,  MEASURED IN PCT OF AREA BEARING","INSECTICIDE",35,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"22","ABAMECTIN","SURVEY",2016,"CALIFORNIA"," APPLICATIONS ,  MEASURED IN LB / ACRE / APPLICATION","INSECTICIDE",0.019,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"23","ABAMECTIN","SURVEY",2016,"WASHINGTON"," APPLICATIONS ,  MEASURED IN NUMBER","INSECTICIDE",0,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"24","ABAMECTIN","SURVEY",2016,"FLORIDA"," APPLICATIONS ,  MEASURED IN LB","INSECTICIDE",0,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"25","ABAMECTIN","SURVEY",2018,"CALIFORNIA"," APPLICATIONS ,  MEASURED IN LB / ACRE / YEAR","INSECTICIDE",0.027,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"26","ABAMECTIN","SURVEY",2016,"WASHINGTON"," APPLICATIONS ,  MEASURED IN LB / ACRE / YEAR","INSECTICIDE",0,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"27","ABAMECTIN","SURVEY",2019,"CALIFORNIA"," APPLICATIONS ,  MEASURED IN LB / ACRE / YEAR","INSECTICIDE",0.04,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"28","ABAMECTIN","SURVEY",2016,"WASHINGTON"," APPLICATIONS ,  MEASURED IN LB / ACRE / APPLICATION","INSECTICIDE",0,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"29","ABAMECTIN","SURVEY",2016,"WASHINGTON"," TREATED ,  MEASURED IN PCT OF AREA BEARING","INSECTICIDE",0,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"30","ABAMECTIN","SURVEY",2019,"CALIFORNIA"," APPLICATIONS ,  MEASURED IN NUMBER","INSECTICIDE",2.2,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"31","ABAMECTIN","SURVEY",2018,"FLORIDA"," APPLICATIONS ,  MEASURED IN LB / ACRE / APPLICATION","INSECTICIDE",0,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"32","ABAMECTIN","SURVEY",2016,"CALIFORNIA"," APPLICATIONS ,  MEASURED IN LB","INSECTICIDE",300,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"33","ABAMECTIN","SURVEY",2016,"FLORIDA"," APPLICATIONS ,  MEASURED IN LB / ACRE / APPLICATION","INSECTICIDE",0,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"34","ABAMECTIN","SURVEY",2019,"FLORIDA"," APPLICATIONS ,  MEASURED IN NUMBER","INSECTICIDE",4.1,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
"35","ABAMECTIN","SURVEY",2019,"CALIFORNIA"," APPLICATIONS ,  MEASURED IN LB / ACRE / APPLICATION","INSECTICIDE",0.019,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0
